4   1   1   0   0   0   0   80   5   2   16   1616   -377.3   -480.2   552   0   CAL
4   2   1   0   0   0   0   80   5   3   17   1617   -343.0   -480.2   471   0   CAL
4   3   1   0   0   0   0   80   5   4   18   1618   -308.7   -480.2   378   0   CAL
4   4   1   0   0   1   0   82   3   5   11   1651   -274.4   -480.2   283   0   CAL
4   5   1   0   0   1   0   82   4   2   12   1652   -240.1   -480.2   194   0   CAL
4   6   1   0   0   1   0   82   4   3   13   1653   -205.8   -480.2   193   0   CAL
4   7   1   0   0   2   0   84   2   3   5   1685   -171.5   -480.2   192   0   CAL
4   8   1   0   0   2   0   84   2   4   6   1686   -137.2   -480.2   191   0   CAL
4   9   1   0   0   2   0   84   2   5   7   1687   -102.9   -480.2   190   0   CAL
4   10   1   0   0   3   0   86   2   2   4   1724   -68.6   -480.2   189   0   CAL
4   11   1   0   0   3   0   86   2   3   5   1725   -34.3   -480.2   188   0   CAL
4   12   1   0   0   3   0   86   2   4   6   1726   0.0   -480.2   187   0   CAL
4   13   1   1   0   3   0   126   4   4   14   2534   34.3   -480.2   186   0   CAL
4   14   1   1   0   3   0   126   4   5   15   2535   68.6   -480.2   185   0   CAL
4   15   1   1   0   2   0   124   3   5   11   2491   102.9   -480.2   184   0   CAL
4   16   1   1   0   2   0   124   4   2   12   2492   137.2   -480.2   183   0   CAL
4   17   1   1   0   2   0   124   4   3   13   2493   171.5   -480.2   182   0   CAL
4   18   1   1   0   1   0   122   2   4   6   2446   205.8   -480.2   181   0   CAL
4   19   1   1   0   1   0   122   2   5   7   2447   240.1   -480.2   180   0   CAL
4   20   1   1   0   1   0   122   3   2   8   2448   274.4   -480.2   266   0   CAL
4   21   1   1   0   1   0   122   3   3   9   2449   308.7   -480.2   358   0   CAL
4   22   1   1   0   0   0   120   1   3   1   2401   343.0   -480.2   452   0   CAL
4   23   1   1   0   0   0   120   1   4   2   2402   377.3   -480.2   540   0   CAL
4   24   1   1   0   0   0   120   1   5   3   2403   411.6   -480.2   609   0   CAL
5   0   1   0   1   3   0   94   5   5   19   1899   -428.8   -445.9   611   0   CAL
