TABLE CalCosmicEnergyCalib
84,559.19,9.84,38.82,7.76,113.31,13.21,1.14850,506
85,605.22,9.68,33.29,6.66,117.01,14.14,1.17423,512
86,534.81,10.84,36.50,7.52,127.28,15.51,0.83337,511
87,545.46,8.67,39.70,7.36,100.59,11.27,1.67283,509
88,502.14,13.00,28.73,8.93,110.81,14.02,1.17641,312
89,524.72,11.87,40.44,9.92,110.81,18.14,1.23487,318
90,503.22,7.95,21.06,3.81,111.77,7.51,0.90045,703
91,503.49,6.89,30.51,4.73,101.33,9.71,1.23048,709
92,515.07,7.72,23.80,4.04,105.85,7.97,0.92882,800
93,541.03,7.81,25.08,4.52,114.35,9.11,1.36466,797
94,591.07,10.88,44.52,9.98,95.46,15.76,1.29743,324
95,601.73,9.47,39.53,6.70,124.05,10.44,0.83543,654
96,564.09,8.19,39.71,5.75,114.77,11.11,1.14619,674
97,567.21,9.46,41.51,6.44,120.11,13.03,0.88035,671
98,626.25,8.59,45.87,6.83,113.37,14.76,1.57469,632
99,637.21,6.71,53.74,6.83,96.01,12.84,1.21386,633
100,540.28,7.39,49.39,5.90,91.67,11.54,0.78646,642
101,504.30,6.13,51.56,5.51,70.46,14.02,1.02901,630
102,601.79,9.13,47.95,7.35,121.46,13.76,1.36593,630
103,547.98,8.41,39.72,5.98,114.60,11.11,1.06069,620
104,651.16,10.24,38.58,7.14,130.28,13.74,1.05162,594
105,603.92,8.53,37.86,6.49,108.34,13.85,1.40514,589
106,528.30,9.56,27.05,5.57,122.64,10.45,1.02795,622
107,520.94,9.93,33.93,6.71,123.43,11.83,1.14972,620
108,538.62,9.28,43.87,6.14,138.48,9.90,1.44879,872
109,564.64,10.48,37.63,6.14,156.50,10.49,1.46510,879
110,594.76,11.42,37.79,6.50,170.40,11.06,0.87727,909
111,614.20,11.02,47.89,7.14,169.70,14.15,0.86818,912
112,676.95,12.10,49.50,7.96,194.21,16.32,1.55134,920
113,659.54,12.57,40.79,7.31,196.66,13.52,1.28428,920
114,537.24,11.00,38.95,6.93,155.19,13.70,0.69617,747
115,514.25,9.13,36.18,5.78,126.02,9.69,0.76993,739
116,528.73,6.85,49.52,5.71,86.98,10.28,1.12092,675
117,505.29,6.72,48.34,5.44,83.09,10.69,0.82437,667
118,566.85,7.12,55.28,6.24,99.75,11.22,1.33327,771
119,603.97,7.57,56.20,6.14,102.52,11.59,0.79867,771
120,568.05,6.27,43.03,5.01,98.60,9.29,1.13220,834
121,569.61,6.22,43.24,4.87,89.35,9.58,1.31355,838
122,677.51,9.44,39.85,6.39,131.63,12.98,1.31080,739
123,627.18,9.01,33.42,5.60,130.24,10.43,1.10646,733
124,551.39,7.86,51.51,6.91,78.61,16.52,1.19921,539
125,512.02,8.19,41.10,6.27,85.47,12.04,0.79821,536
126,575.15,9.28,37.85,6.36,108.47,12.29,0.71980,540
127,590.44,9.25,31.26,6.27,108.90,11.05,1.07888,535
128,626.14,8.73,39.82,6.38,109.31,12.81,0.77930,542
129,547.14,8.33,32.80,5.77,100.50,11.73,1.28922,533
130,509.62,7.01,35.76,4.92,100.06,8.36,0.90173,743
131,470.14,6.03,35.50,4.48,85.39,7.96,0.68585,730
132,593.33,10.51,34.68,6.32,146.07,12.63,1.83588,728
133,567.02,10.36,38.26,6.81,145.83,12.88,1.55133,733
134,616.41,10.54,46.23,10.55,86.34,17.23,1.21933,305
135,620.75,16.85,37.30,12.41,136.62,26.67,1.12236,308
136,516.96,7.31,47.47,7.23,46.79,16.70,0.77615,337
137,501.51,7.83,41.67,7.22,61.12,12.67,1.20030,341
138,499.61,8.71,41.12,8.35,79.76,14.15,0.43783,318
139,511.46,10.34,30.13,7.18,88.17,11.52,0.82650,322
140,513.96,8.16,39.78,6.24,71.97,16.27,1.19974,474
141,546.87,7.37,42.60,6.09,75.08,12.65,0.91396,472
142,624.87,11.84,39.58,8.41,134.92,15.53,0.85781,474
143,647.49,13.29,29.58,7.83,143.00,14.14,1.08041,474
144,568.47,9.97,51.56,9.10,104.21,14.96,1.19335,438
